NAME,DATE,Assets,Liabilities,Equity,Paidup Capital,Revenue,Net Profit,EPS (Baht),ROA(%),ROE(%),Net Profit Margin(%),Last Price(Baht),Market Cap.,P/E,P/BV,Book Value per share (Baht),Dvd. Yield(%),Industry,Sector
ACE,30/09/2020,16330.44,4589.10,11741.34,5088.00,4766.61,1253.58,0.12,11.39,16.76,26.30,3.74,37040.64,24.71,3.15,1.15,,Resources,Energy & Utilities
ACE,30/09/2020,16330.44,4589.10,11741.34,5088.00,4766.61,1253.58,0.12,11.39,16.76,26.30,3.74,37040.64,24.71,3.15,1.15,,Resources,Energy & Utilities
ADVANC,30/09/2017,284067.35,233640.57,50320.35,2973.10,158477.17,30077.31,10.12,14.73,64.76,18.98,191.00,567861.21,19.69,13.59,14.06,5.28,Technology,Information & Communication Technology
ADVANC,30/09/2018,290504.99,232836.40,57521.04,2973.10,170835.31,29682.18,9.98,14.20,55.05,17.37,172.50,512858.94,16.79,10.12,17.04,4.10,Technology,Information & Communication Technology
ADVANC,30/09/2019,289669.12,220274.95,69266.10,2973.18,181654.32,31189.57,10.49,14.54,49.20,17.17,213.00,633287.05,20.45,10.22,20.84,3.32,Technology,Information & Communication Technology
ADVANC,30/09/2020,350170.58,274481.21,75563.98,2973.55,173650.00,27434.36,9.23,12.02,37.88,15.80,176.00,523345.56,19.15,7.64,23.04,4.17,Technology,Information & Communication Technology
AEONTS,31/08/2017,72638.32,58865.44,13696.68,250.00,17292.15,2403.46,9.61,4.15,18.58,13.90,103.50,25875.00,9.93,1.79,57.88,3.33,Financials,Finance & Securities
AEONTS,31/08/2018,80771.40,64949.60,15736.63,250.00,18059.81,2966.33,11.87,4.84,20.16,16.43,182.00,45500.00,13.12,2.68,67.87,2.12,Financials,Finance & Securities
AEONTS,31/08/2019,87121.54,68733.17,18053.93,250.00,19877.89,3506.49,14.03,5.28,20.75,17.64,191.00,47750.00,13.10,2.47,77.42,2.46,Financials,Finance & Securities
AEONTS,31/08/2020,95395.61,74270.46,20727.98,250.00,22262.60,3975.36,15.90,5.64,20.50,17.86,203.00,50750.00,14.32,3.36,60.42,2.46,Financials,Finance & Securities
AMATA,30/09/2017,29279.67,14308.36,12555.56,1067.00,5327.73,1409.49,1.32,8.04,11.50,26.46,26.00,27742.00,15.11,2.24,11.59,1.73,Property & Construction,Property Development
AMATA,30/09/2018,33021.43,17452.34,12967.27,1067.00,5266.89,1018.22,0.95,5.92,7.98,19.33,20.60,21980.20,18.04,1.71,12.03,2.57,Property & Construction,Property Development
AMATA,30/09/2019,36397.40,19420.95,14054.51,1067.00,6947.57,1742.06,1.63,8.16,12.89,25.07,20.10,21446.70,13.34,1.54,13.07,1.99,Property & Construction,Property Development
AMATA,30/09/2020,38495.70,20991.37,14370.76,1067.00,3591.89,706.84,0.66,5.43,6.76,19.68,16.30,18745.00,19.58,1.30,13.47,2.56,Property & Construction,Property Development
AOT,30/09/2017,178409.94,46721.24,131376.25,14285.70,56744.27,20683.60,1.45,15.62,16.37,36.45,68.00,971427.60,46.97,7.39,9.20,1.26,Services,Transportation & Logistics
AOT,30/09/2018,187708.55,43439.43,143902.78,14285.70,62135.93,25170.76,1.76,17.56,18.29,40.51,64.25,917856.22,36.47,6.38,10.07,1.63,Services,Transportation & Logistics
AOT,30/09/2019,198381.56,43842.92,153899.11,14285.70,64994.07,25026.37,1.75,16.73,16.81,38.51,74.25,1060713.22,42.38,6.89,10.77,1.41,Services,Transportation & Logistics
AOT,30/09/2020,173558.57,30526.90,142235.58,14285.70,33275.51,4320.68,0.30,3.22,2.92,12.98,62.25,889284.82,205.82,6.25,9.96,0.31,Services,Transportation & Logistics
AP,30/09/2017,43936.04,22303.03,21636.64,3145.90,22851.09,3157.10,1.00,9.88,15.38,13.82,9.15,28784.98,9.40,1.42,6.45,3.28,Property & Construction,Property Development
AP,30/09/2018,49283.66,24904.35,24392.75,3145.90,28890.09,3865.41,1.23,10.20,16.80,13.38,6.00,18875.40,4.42,0.81,7.45,5.83,Property & Construction,Property Development
AP,30/09/2019,58794.21,32498.09,26313.12,3145.90,24975.23,3067.51,0.98,7.20,12.10,12.28,7.45,23436.95,7.46,0.92,8.08,5.37,Property & Construction,Property Development
AP,30/09/2020,59228.00,30907.14,28339.15,3145.90,23945.11,3284.34,1.04,8.80,15.50,13.72,7.25,22807.77,5.47,0.80,9.01,5.52,Property & Construction,Property Development
AWC,30/09/2020,123952.53,52305.27,71647.27,32000.00,4557.80,1389.06,0.04,0.01,1.87,30.48,4.90,145920.00,,2.04,2.24,0.27,Property & Construction,Property Development
AWC,30/09/2020,123952.53,52305.27,71647.27,32000.00,4557.80,1389.06,0.04,0.01,1.87,30.48,4.90,145920.00,,2.04,2.24,0.27,Property & Construction,Property Development
BAM,30/09/2020,120223.58,83272.08,36951.50,16160.21,8874.56,1132.78,0.35,2.11,6.95,12.76,22.40,70781.73,25.28,1.92,11.43,4.79,Financials,Finance & Securities
BAM,30/09/2020,120223.58,83272.08,36951.50,16160.21,8874.56,1132.78,0.35,2.11,6.95,12.76,22.40,70781.73,25.28,1.92,11.43,4.79,Financials,Finance & Securities
BANPU,30/09/2017,268751.37,163822.10,85314.88,5161.92,105826.81,7900.24,1.55,8.05,9.62,7.47,19.50,100657.55,13.92,1.21,16.18,2.19,Resources,Energy & Utilities
BANPU,30/09/2018,274317.40,171304.58,83060.46,5161.92,123345.43,6693.73,1.30,8.11,7.95,5.43,14.80,76396.50,10.34,0.93,15.97,4.39,Resources,Energy & Utilities
BANPU,30/09/2019,257588.81,167107.96,72194.58,5161.92,97528.86,552.86,0.11,3.59,0.71,0.57,11.90,61426.91,25.35,0.82,14.31,5.98,Resources,Energy & Utilities
BANPU,30/09/2020,276897.02,197277.24,60019.67,5074.58,59803.68,1318.21,0.26,2.14,4.13,2.20,11.00,55820.40,,0.93,11.83,5.51,Resources,Energy & Utilities
BBL,30/09/2017,3076310.39,2674303.35,401723.61,19088.43,147363.13,33008.71,17.29,1.37,8.46,22.40,202.00,385586.26,11.76,0.98,205.89,3.22,Financials,Banking
